Entity,Code,Year,All
Kenya,KEN,2016,1
Latvia,LVA,2017,1
Latvia,LVA,2020,1
Lithuania,LTU,2015,4
Lithuania,LTU,2016,3
Lithuania,LTU,2017,4
Lithuania,LTU,2018,9
Lithuania,LTU,2019,2
Lithuania,LTU,2020,5
Luxembourg,LUX,2016,2
Luxembourg,LUX,2017,3
Luxembourg,LUX,2018,9
Luxembourg,LUX,2019,10
Luxembourg,LUX,2020,13
Malaysia,MYS,2015,20
Malaysia,MYS,2016,11
Malaysia,MYS,2017,28
Malaysia,MYS,2018,23
Malaysia,MYS,2019,15
Malaysia,MYS,2020,15
Mexico,MEX,2015,35
Mexico,MEX,2016,44
Mexico,MEX,2017,64
Mexico,MEX,2018,89
Mexico,MEX,2019,104
Mexico,MEX,2020,134
Morocco,MAR,2015,2
Morocco,MAR,2016,3
Morocco,MAR,2017,5
Morocco,MAR,2018,7
Morocco,MAR,2019,7
Morocco,MAR,2020,2
Netherlands,NLD,2015,5
Netherlands,NLD,2016,6
Netherlands,NLD,2017,5
Netherlands,NLD,2018,13
Netherlands,NLD,2019,24
Netherlands,NLD,2020,19
New Zealand,NZL,2015,18
New Zealand,NZL,2016,5
New Zealand,NZL,2017,17
New Zealand,NZL,2018,13
New Zealand,NZL,2019,12
New Zealand,NZL,2020,6
North America,,2015,4185
North America,,2016,6601
North America,,2017,10477
North America,,2018,14379
North America,,2019,15800
North America,,2020,15619
Norway,NOR,2016,3
Norway,NOR,2017,2
Norway,NOR,2018,6
Norway,NOR,2019,5
Norway,NOR,2020,8
Oceania,,2015,146
Oceania,,2016,246
Oceania,,2017,308
Oceania,,2018,489
Oceania,,2019,580
Oceania,,2020,901
Oman,OMN,2016,1
Panama,PAN,2016,2
Peru,PER,2015,2
Peru,PER,2016,3
Peru,PER,2017,1
Peru,PER,2018,4
Peru,PER,2019,2
Peru,PER,2020,13
Philippines,PHL,2015,8
Philippines,PHL,2016,4
Philippines,PHL,2017,1
Philippines,PHL,2018,5
Philippines,PHL,2019,21
Philippines,PHL,2020,23
Poland,POL,2015,20
Poland,POL,2016,18
Poland,POL,2017,19
Poland,POL,2018,27
Poland,POL,2019,26
Poland,POL,2020,19
Portugal,PRT,2015,5
Portugal,PRT,2016,10
Portugal,PRT,2017,8
Portugal,PRT,2018,12
Portugal,PRT,2019,5
Portugal,PRT,2020,9
Romania,ROU,2015,6
Romania,ROU,2016,2
Romania,ROU,2017,5
Romania,ROU,2018,5
Romania,ROU,2019,6
Romania,ROU,2020,9
Russia,RUS,2015,98
Russia,RUS,2016,137
Russia,RUS,2017,182
Russia,RUS,2018,210
Russia,RUS,2019,169
Russia,RUS,2020,189
San Marino,SMR,2015,1
San Marino,SMR,2018,2
Saudi Arabia,SAU,2018,2
Serbia,SRB,2015,1
Serbia,SRB,2016,2
Serbia,SRB,2017,2
Serbia,SRB,2018,5
Serbia,SRB,2019,4
Serbia,SRB,2020,6
Singapore,SGP,2015,34
Singapore,SGP,2016,51
Singapore,SGP,2017,111
Singapore,SGP,2018,202
Singapore,SGP,2019,152
Singapore,SGP,2020,52
Slovakia,SVK,2015,4
Slovakia,SVK,2020,4
Slovenia,SVN,2015,2
Slovenia,SVN,2016,3
Slovenia,SVN,2018,7
South Africa,ZAF,2016,3
South Africa,ZAF,2017,3
South Africa,ZAF,2018,6
South Africa,ZAF,2019,1
South Africa,ZAF,2020,6
South America,,2015,66
South America,,2016,84
South America,,2017,89
South America,,2018,164
South America,,2019,212
South America,,2020,179
South Korea,KOR,2015,459
South Korea,KOR,2016,1163
South Korea,KOR,2017,2380
South Korea,KOR,2018,4186
South Korea,KOR,2019,6612
South Korea,KOR,2020,8274
Spain,ESP,2015,44
Spain,ESP,2016,63
Spain,ESP,2017,92
Spain,ESP,2018,109
Spain,ESP,2019,92
Spain,ESP,2020,83
Sri Lanka,LKA,2016,1
Sweden,SWE,2015,6
Sweden,SWE,2016,12
Sweden,SWE,2017,11
Sweden,SWE,2018,31
Sweden,SWE,2019,16
Sweden,SWE,2020,26
Switzerland,CHE,2015,3
Switzerland,CHE,2016,4
Switzerland,CHE,2017,2
Switzerland,CHE,2018,4
Switzerland,CHE,2019,2
Switzerland,CHE,2020,5
Taiwan,TWN,2015,47
Taiwan,TWN,2016,98
Taiwan,TWN,2017,186
Taiwan,TWN,2018,357
Taiwan,TWN,2019,497
Taiwan,TWN,2020,627
Thailand,THA,2017,1
Tunisia,TUN,2020,1
Turkey,TUR,2015,4
Turkey,TUR,2016,8
Turkey,TUR,2017,11
Turkey,TUR,2018,18
Turkey,TUR,2019,25
Turkey,TUR,2020,46
Ukraine,UKR,2015,12
Ukraine,UKR,2016,4
Ukraine,UKR,2017,2
Ukraine,UKR,2018,4
Ukraine,UKR,2019,2
United Kingdom,GBR,2015,93
United Kingdom,GBR,2016,189
United Kingdom,GBR,2017,276
United Kingdom,GBR,2018,407
United Kingdom,GBR,2019,423
United Kingdom,GBR,2020,440
United States,USA,2015,3966
United States,USA,2016,6220
United States,USA,2017,9988
United States,USA,2018,13605
United States,USA,2019,14939
United States,USA,2020,14601
Uruguay,URY,2017,1
Uruguay,URY,2020,1
World,OWID_WRL,2015,10305
World,OWID_WRL,2016,18589
World,OWID_WRL,2017,32333
World,OWID_WRL,2018,53180
World,OWID_WRL,2019,74108
World,OWID_WRL,2020,98650
World Intellectual Property Organization (WIPO) (CSET),,2015,3
World Intellectual Property Organization (WIPO) (CSET),,2016,5
World Intellectual Property Organization (WIPO) (CSET),,2017,24
World Intellectual Property Organization (WIPO) (CSET),,2018,222
World Intellectual Property Organization (WIPO) (CSET),,2019,732
World Intellectual Property Organization (WIPO) (CSET),,2020,981
